rps,timestamp,actual_scale,desired_scale,running_instances,worker_cpu_avg,worker_mem_avg,active_worker_cpu_avg
1,0,0,1,0,0.0,5.0,0
1,1000,0,2,0,0.0,5.0,0
1,2000,0,3,0,0.0,5.0,0
1,3000,0,4,0,0.0,5.0,0
1,4000,0,5,0,0.0,5.0,0
1,5000,0,6,0,0.0,5.0,0
1,6000,0,7,1,6.25,5.335693359375,6.25
1,7000,0,8,2,6.25,5.640869140625,6.25
1,8000,2,9,3,6.25,5.946044921875,6.25
1,9000,2,10,4,6.25,6.251220703125,6.25
1,10000,4,11,5,6.25,6.556396484375,6.25
1,11000,4,12,6,6.25,6.861572265625,6.25
1,12000,6,13,7,6.25,7.166748046875,6.25
1,13000,6,14,8,6.25,7.471923828125,6.25
1,14000,8,15,9,6.25,7.777099609375,6.25
1,15000,8,16,10,6.25,8.082275390625,6.25
1,16000,10,17,11,6.25,8.387451171875,6.25
1,17000,10,18,12,6.25,8.692626953125,6.25
1,18000,12,19,13,6.25,8.997802734375,6.25
1,19000,12,20,14,6.25,9.302978515625,6.25
1,20000,14,21,15,6.25,9.608154296875,6.25
1,21000,14,22,16,6.25,9.913330078125,6.25
1,22000,16,23,17,6.25,10.218505859375,6.25
1,23000,16,24,18,6.25,10.523681640625,6.25
1,24000,18,25,19,6.25,10.828857421875,6.25
1,25000,18,26,20,6.25,11.134033203125,6.25
1,26000,20,27,21,6.25,11.439208984375,6.25
1,27000,20,28,22,6.25,11.744384765625,6.25
1,28000,22,29,23,6.25,12.049560546875,6.25
1,29000,22,30,24,6.25,12.354736328125,6.25
1,30000,24,31,25,6.25,12.659912109375,6.25
1,31000,24,32,26,6.25,12.965087890625,6.25
1,32000,26,33,27,6.25,13.270263671875,6.25
1,33000,26,34,28,6.25,13.575439453125,6.25
1,34000,28,35,29,6.25,13.880615234375,6.25
1,35000,28,36,30,6.25,14.185791015625,6.25
1,36000,30,37,31,6.25,14.490966796875,6.25
1,37000,30,38,32,6.25,14.796142578125,6.25
1,38000,32,39,33,6.25,15.101318359375,6.25
1,39000,32,40,34,6.25,15.406494140625,6.25
1,40000,34,41,35,6.25,15.711669921875,6.25
1,41000,34,42,36,6.25,16.016845703125,6.25
1,42000,36,43,37,6.25,16.322021484375,6.25
1,43000,36,44,38,6.25,16.627197265625,6.25
1,44000,38,45,39,6.25,16.932373046875,6.25
1,45000,38,46,40,6.25,17.237548828125,6.25
1,46000,40,47,41,6.25,17.542724609375,6.25
1,47000,40,48,42,6.25,17.847900390625,6.25
1,48000,42,49,43,6.25,18.153076171875,6.25
1,49000,42,50,44,6.25,18.458251953125,6.25
1,50000,44,50,45,12.5,18.7939453125,12.5
1,51000,44,50,46,12.5,19.09912109375,12.5
1,52000,46,50,47,12.5,19.404296875,12.5
